facility_filter,facility_name,region,service_name,gender,age_group,patient_days,visits
All,South Medical Center,South,General Medicine,Male,18-44,35.5,13
All,South Medical Center,South,General Medicine,Female,45-69,97.8,34
All,South Medical Center,South,General Medicine,Male,45-69,130.1,34
All,South Medical Center,South,General Medicine,Female,70+,202.0,51
All,South Medical Center,South,General Medicine,Male,70+,211.3,43
All,South Medical Center,South,General Surgery,Female,0-17,5.2,2
All,South Medical Center,South,General Surgery,Male,0-17,4.1,4
All,South Medical Center,South,General Surgery,Female,18-44,78.5,30
All,South Medical Center,South,General Surgery,Male,18-44,62.9,21
All,South Medical Center,South,General Surgery,Female,45-69,105.2,35
All,South Medical Center,South,General Surgery,Male,45-69,91.3,33
All,South Medical Center,South,General Surgery,Female,70+,71.9,31
All,South Medical Center,South,General Surgery,Male,70+,81.6,28
All,South Medical Center,South,Maternal Care,Female,0-17,10.0,8
All,South Medical Center,South,Maternal Care,Male,0-17,2.4,2
All,South Medical Center,South,Maternal Care,Female,18-44,384.1,162
All,South Medical Center,South,Maternal Care,Male,18-44,20.5,5
All,South Medical Center,South,Maternal Care,Female,45-69,36.1,11
All,South Medical Center,South,Maternal Care,Male,45-69,9.1,3
All,South Medical Center,South,Maternal Care,Female,70+,45.3,8
All,South Medical Center,South,Maternal Care,Male,70+,37.2,8
All,South Medical Center,South,Mental Health,Female,0-17,3.6,3
All,South Medical Center,South,Mental Health,Male,0-17,13.3,7
All,South Medical Center,South,Mental Health,Female,18-44,143.9,28
All,South Medical Center,South,Mental Health,Male,18-44,60.0,11
All,South Medical Center,South,Mental Health,Female,45-69,39.2,8
All,South Medical Center,South,Mental Health,Male,45-69,46.1,7
All,South Medical Center,South,Mental Health,Female,70+,50.8,12
All,South Medical Center,South,Mental Health,Male,70+,34.7,5
Central Community Hospital,Central Community Hospital,Central,Child Health,Female,0-17,136.3,74
Central Community Hospital,Central Community Hospital,Central,Child Health,Male,0-17,110.6,70
Central Community Hospital,Central Community Hospital,Central,Child Health,Female,18-44,20.3,7
Central Community Hospital,Central Community Hospital,Central,Child Health,Male,18-44,29.4,6
Central Community Hospital,Central Community Hospital,Central,Child Health,Female,45-69,27.9,7
Central Community Hospital,Central Community Hospital,Central,Child Health,Male,45-69,2.2,3
Central Community Hospital,Central Community Hospital,Central,Child Health,Female,70+,27.2,7
Central Community Hospital,Central Community Hospital,Central,Child Health,Male,70+,15.6,4
Central Community Hospital,Central Community Hospital,Central,General Medicine,Female,0-17,6.5,4
Central Community Hospital,Central Community Hospital,Central,General Medicine,Male,0-17,12.4,6
Central Community Hospital,Central Community Hospital,Central,General Medicine,Female,18-44,67.4,17
Central Community Hospital,Central Community Hospital,Central,General Medicine,Male,18-44,75.9,21
Central Community Hospital,Central Community Hospital,Central,General Medicine,Female,45-69,167.5,42
Central Community Hospital,Central Community Hospital,Central,General Medicine,Male,45-69,127.9,32
Central Community Hospital,Central Community Hospital,Central,General Medicine,Female,70+,244.9,57
Central Community Hospital,Central Community Hospital,Central,General Medicine,Male,70+,203.0,58
Central Community Hospital,Central Community Hospital,Central,General Surgery,Female,0-17,16.6,8
Central Community Hospital,Central Community Hospital,Central,General Surgery,Male,0-17,34.2,13
Central Community Hospital,Central Community Hospital,Central,General Surgery,Female,18-44,93.1,29
Central Community Hospital,Central Community Hospital,Central,General Surgery,Male,18-44,84.0,26
Central Community Hospital,Central Community Hospital,Central,General Surgery,Female,45-69,117.1,41
Central Community Hospital,Central Community Hospital,Central,General Surgery,Male,45-69,139.5,44
Central Community Hospital,Central Community Hospital,Central,General Surgery,Female,70+,96.9,37
Central Community Hospital,Central Community Hospital,Central,General Surgery,Male,70+,99.9,31
Central Community Hospital,Central Community Hospital,Central,Maternal Care,Female,0-17,9.6,5
Central Community Hospital,Central Community Hospital,Central,Maternal Care,Male,0-17,13.8,7
Central Community Hospital,Central Community Hospital,Central,Maternal Care,Female,18-44,475.4,217
Central Community Hospital,Central Community Hospital,Central,Maternal Care,Male,18-44,24.3,7
Central Community Hospital,Central Community Hospital,Central,Maternal Care,Female,45-69,63.0,22
Central Community Hospital,Central Community Hospital,Central,Maternal Care,Male,45-69,45.4,7
Central Community Hospital,Central Community Hospital,Central,Maternal Care,Female,70+,22.0,7
Central Community Hospital,Central Community Hospital,Central,Maternal Care,Male,70+,10.0,4
Central Community Hospital,Central Community Hospital,Central,Mental Health,Female,0-17,29.7,6
Central Community Hospital,Central Community Hospital,Central,Mental Health,Male,0-17,26.0,3
Central Community Hospital,Central Community Hospital,Central,Mental Health,Female,18-44,104.1,25
Central Community Hospital,Central Community Hospital,Central,Mental Health,Male,18-44,65.9,10
Central Community Hospital,Central Community Hospital,Central,Mental Health,Female,45-69,79.4,20
Central Community Hospital,Central Community Hospital,Central,Mental Health,Male,45-69,79.5,19
Central Community Hospital,Central Community Hospital,Central,Mental Health,Female,70+,58.8,16
Central Community Hospital,Central Community Hospital,Central,Mental Health,Male,70+,49.7,13
North General Hospital,North General Hospital,North,Child Health,Female,0-17,171.9,97
North General Hospital,North General Hospital,North,Child Health,Male,0-17,226.9,137
North General Hospital,North General Hospital,North,Child Health,Female,18-44,68.2,21
North General Hospital,North General Hospital,North,Child Health,Male,18-44,12.0,7
North General Hospital,North General Hospital,North,Child Health,Female,45-69,39.8,13
North General Hospital,North General Hospital,North,Child Health,Male,45-69,20.8,4
North General Hospital,North General Hospital,North,Child Health,Female,70+,33.9,6
North General Hospital,North General Hospital,North,Child Health,Male,70+,35.0,8
North General Hospital,North General Hospital,North,General Medicine,Female,0-17,12.5,4
North General Hospital,North General Hospital,North,General Medicine,Male,0-17,21.2,7
North General Hospital,North General Hospital,North,General Medicine,Female,18-44,123.3,34
North General Hospital,North General Hospital,North,General Medicine,Male,18-44,53.3,19
North General Hospital,North General Hospital,North,General Medicine,Female,45-69,196.8,49
North General Hospital,North General Hospital,North,General Medicine,Male,45-69,247.0,61
North General Hospital,North General Hospital,North,General Medicine,Female,70+,251.2,69
North General Hospital,North General Hospital,North,General Medicine,Male,70+,252.1,60
North General Hospital,North General Hospital,North,General Surgery,Female,0-17,42.2,13
North General Hospital,North General Hospital,North,General Surgery,Male,0-17,25.2,12
North General Hospital,North General Hospital,North,General Surgery,Female,18-44,164.8,53
North General Hospital,North General Hospital,North,General Surgery,Male,18-44,68.1,24
North General Hospital,North General Hospital,North,General Surgery,Female,45-69,164.3,50
North General Hospital,North General Hospital,North,General Surgery,Male,45-69,175.0,54
North General Hospital,North General Hospital,North,General Surgery,Female,70+,139.4,42
North General Hospital,North General Hospital,North,General Surgery,Male,70+,127.7,47
North General Hospital,North General Hospital,North,Maternal Care,Female,0-17,20.6,8
North General Hospital,North General Hospital,North,Maternal Care,Male,0-17,10.3,6
North General Hospital,North General Hospital,North,Maternal Care,Female,18-44,531.6,258
North General Hospital,North General Hospital,North,Maternal Care,Male,18-44,19.5,7
North General Hospital,North General Hospital,North,Maternal Care,Female,45-69,100.1,50
North General Hospital,North General Hospital,North,Maternal Care,Male,45-69,43.6,8
North General Hospital,North General Hospital,North,Maternal Care,Female,70+,19.2,4
North General Hospital,North General Hospital,North,Maternal Care,Male,70+,41.2,12
North General Hospital,North General Hospital,North,Mental Health,Female,0-17,30.4,8
North General Hospital,North General Hospital,North,Mental Health,Male,0-17,30.7,8
North General Hospital,North General Hospital,North,Mental Health,Female,18-44,150.0,36
North General Hospital,North General Hospital,North,Mental Health,Male,18-44,94.0,16
North General Hospital,North General Hospital,North,Mental Health,Female,45-69,166.1,33
North General Hospital,North General Hospital,North,Mental Health,Male,45-69,113.1,21
North General Hospital,North General Hospital,North,Mental Health,Female,70+,50.9,14
North General Hospital,North General Hospital,North,Mental Health,Male,70+,65.0,16
South Medical Center,South Medical Center,South,Child Health,Female,0-17,141.6,64
South Medical Center,South Medical Center,South,Child Health,Male,0-17,93.8,54
South Medical Center,South Medical Center,South,Child Health,Female,18-44,61.0,26
South Medical Center,South Medical Center,South,Child Health,Male,18-44,19.1,6
South Medical Center,South Medical Center,South,Child Health,Female,45-69,20.8,8
South Medical Center,South Medical Center,South,Child Health,Male,45-69,21.4,5
South Medical Center,South Medical Center,South,Child Health,Female,70+,9.5,2
South Medical Center,South Medical Center,South,Child Health,Male,70+,14.1,2
South Medical Center,South Medical Center,South,General Medicine,Female,0-17,20.1,6
South Medical Center,South Medical Center,South,General Medicine,Male,0-17,21.1,7
South Medical Center,South Medical Center,South,General Medicine,Female,18-44,94.2,25
South Medical Center,South Medical Center,South,General Medicine,Male,18-44,35.5,13
South Medical Center,South Medical Center,South,General Medicine,Female,45-69,97.8,34
South Medical Center,South Medical Center,South,General Medicine,Male,45-69,130.1,34
South Medical Center,South Medical Center,South,General Medicine,Female,70+,202.0,51
South Medical Center,South Medical Center,South,General Medicine,Male,70+,211.3,43
South Medical Center,South Medical Center,South,General Surgery,Female,0-17,5.2,2
South Medical Center,South Medical Center,South,General Surgery,Male,0-17,4.1,4
South Medical Center,South Medical Center,South,General Surgery,Female,18-44,78.5,30
South Medical Center,South Medical Center,South,General Surgery,Male,18-44,62.9,21
South Medical Center,South Medical Center,South,General Surgery,Female,45-69,105.2,35
South Medical Center,South Medical Center,South,General Surgery,Male,45-69,91.3,33
South Medical Center,South Medical Center,South,General Surgery,Female,70+,71.9,31
South Medical Center,South Medical Center,South,General Surgery,Male,70+,81.6,28
South Medical Center,South Medical Center,South,Maternal Care,Female,0-17,10.0,8
South Medical Center,South Medical Center,South,Maternal Care,Male,0-17,2.4,2
South Medical Center,South Medical Center,South,Maternal Care,Female,18-44,384.1,162
South Medical Center,South Medical Center,South,Maternal Care,Male,18-44,20.5,5
South Medical Center,South Medical Center,South,Maternal Care,Female,45-69,36.1,11
South Medical Center,South Medical Center,South,Maternal Care,Male,45-69,9.1,3
South Medical Center,South Medical Center,South,Maternal Care,Female,70+,45.3,8
South Medical Center,South Medical Center,South,Maternal Care,Male,70+,37.2,8
South Medical Center,South Medical Center,South,Mental Health,Female,0-17,3.6,3
South Medical Center,South Medical Center,South,Mental Health,Male,0-17,13.3,7
South Medical Center,South Medical Center,South,Mental Health,Female,18-44,143.9,28
South Medical Center,South Medical Center,South,Mental Health,Male,18-44,60.0,11
South Medical Center,South Medical Center,South,Mental Health,Female,45-69,39.2,8
South Medical Center,South Medical Center,South,Mental Health,Male,45-69,46.1,7
South Medical Center,South Medical Center,South,Mental Health,Female,70+,50.8,12
South Medical Center,South Medical Center,South,Mental Health,Male,70+,34.7,5
